date,daily_revenue
2023-10-15,210.47
2023-10-16,213.55
2023-10-17,56.4
2023-10-18,280.79
2023-10-19,264.14
2023-10-20,251.36
2023-10-21,210.91
2023-10-22,114.8
2023-10-23,213.15
2023-10-24,178.45999999999998
2023-10-25,216.86999999999998
2023-10-26,199.6
2023-10-27,248.48000000000002
2023-10-28,176.7
2023-10-29,177.66
2023-10-30,342.84000000000003
2023-10-31,106.22999999999999
2023-11-01,251.45
2023-11-02,89.99000000000001
2023-11-03,120.6
2023-11-04,141.99
2023-11-05,128.48
2023-11-06,135.2
2023-11-07,214.57000000000002
2023-11-08,198.38
2023-11-09,0
2023-11-10,229.12
2023-11-11,216.51
2023-11-12,166
2023-11-13,237.62
2023-11-14,121.37
2023-11-15,228.43
2023-11-16,47.76
2023-11-17,210.38
2023-11-18,305.12
2023-11-19,171.72
2023-11-20,249.16
2023-11-21,136
2023-11-22,211.82999999999998
2023-11-23,153.72
2023-11-24,112.3
2023-11-25,260.52
2023-11-26,135.21
2023-11-27,167.13
2023-11-28,181.82
2023-11-29,45
2023-11-30,408.67
2023-12-01,116.35
2023-12-02,113.86000000000001
2023-12-03,161.34
2023-12-04,113.42999999999999
2023-12-05,116.16000000000001
2023-12-06,185.08
2023-12-07,82.32
2023-12-08,250.76
2023-12-09,228.76
2023-12-10,125.62
2023-12-11,24.86
2023-12-12,100.5
2023-12-13,136.25
2023-12-14,69.81
2023-12-15,297.37
2023-12-16,170.29999999999998
2023-12-17,295.98
2023-12-18,150.54000000000002
2023-12-19,86.05000000000001
2023-12-20,134.1
2023-12-21,214.33999999999997
2023-12-22,68.75
2023-12-23,181.74
2023-12-24,139.89999999999998
2023-12-25,145.48
2023-12-26,297.96
2023-12-27,123.41
2023-12-28,149.20999999999998
2023-12-29,74.87
2023-12-30,303.94
2023-12-31,131.22
2024-01-01,140.07
2024-01-02,210.41
2024-01-03,171.13
2024-01-04,205.09
2024-01-05,77.22
2024-01-06,96
2024-01-07,218.95
2024-01-08,165.43
2024-01-09,56
2024-01-10,373.53000000000003
2024-01-11,210.35000000000002
2024-01-12,117.23
2024-01-13,110.38999999999999
2024-01-14,112.91
2024-01-15,136.65
2024-01-16,81.61
2024-01-17,77.19000000000001
2024-01-18,200.59
2024-01-19,121.9
2024-01-20,149.47
2024-01-21,100.41
2024-01-22,90.36000000000001
2024-01-23,133.28
2024-01-24,89.24
2024-01-25,205.77999999999997
2024-01-26,88.23
2024-01-27,252.64999999999998
2024-01-28,138.85999999999999
2024-01-29,82.73
2024-01-30,184.76
2024-01-31,143.33
2024-02-01,106.80000000000001
2024-02-02,109.53999999999999
2024-02-03,220.29000000000002
2024-02-04,102.24
2024-02-05,140.24
2024-02-06,246.69
2024-02-07,236.32
2024-02-08,102.44
2024-02-09,205.84
2024-02-10,333.02000000000004
2024-02-11,114.41999999999999
2024-02-12,261.57
2024-02-13,148.70999999999998
2024-02-14,127.67999999999999
2024-02-15,222.5
2024-02-16,160.93
2024-02-17,224.38
2024-02-18,105.33999999999999
2024-02-19,263.1
2024-02-20,150.63
2024-02-21,112.82000000000001
2024-02-22,194.1
2024-02-23,56.42999999999999
2024-02-24,196.02
2024-02-25,97.68
2024-02-26,80.55000000000001
2024-02-27,46.48
2024-02-28,116.55
2024-02-29,78.39
2024-03-01,208.88
2024-03-02,144.79
2024-03-03,359.84000000000003
2024-03-04,106.63
2024-03-05,388.18
2024-03-06,154.48
2024-03-07,152.92000000000002
2024-03-08,241.56
2024-03-09,161.87
2024-03-10,122.85
2024-03-11,293.06000000000006
2024-03-12,46.75
2024-03-13,129.8
2024-03-14,273.26
2024-03-15,226.14999999999998
2024-03-16,191.8
2024-03-17,149.37
2024-03-18,187.52
2024-03-19,142.36
2024-03-20,284.46
2024-03-21,249.45999999999998
2024-03-22,147.64000000000001
2024-03-23,260.4
2024-03-24,307.77
2024-03-25,333.12
2024-03-26,207.99
2024-03-27,246.45000000000002
2024-03-28,188.92
2024-03-29,524
2024-03-30,294.48
2024-03-31,378.27
2024-04-01,197.78
2024-04-02,346.62
2024-04-03,343.12
2024-04-04,224.07999999999998
2024-04-05,325.01
2024-04-07,364.19999999999993
2024-04-08,213.83
2024-04-09,136.42000000000002
2024-04-10,212.5
2024-04-11,228.54
2024-04-12,393.34
2024-04-13,181.74
2024-04-14,238.88
2024-04-15,313.44000000000005
2024-04-16,242.51
2024-04-17,287.84000000000003
2024-04-18,206.67
2024-04-19,145.28
2024-04-20,306.23
2024-04-21,55.86
2024-04-22,238.88
2024-04-23,199.52999999999997
2024-04-24,167.07999999999998
2024-04-25,211.67
2024-04-26,73.96
2024-04-27,57.15
2024-04-28,183.41
2024-04-29,259.65999999999997
2024-04-30,420.39000000000004
2024-05-01,245.35
2024-05-02,352.24
2024-05-03,250.93
2024-05-04,204.32000000000002
2024-05-05,304.73
2024-05-06,225.18
2024-05-07,180.83
2024-05-08,378.56
2024-05-09,192.47
2024-05-10,292.76
2024-05-11,308.63
2024-05-12,139.04
2024-05-13,517.88
2024-05-14,137.15
2024-05-15,281.04
2024-05-16,471.91999999999996
2024-05-17,196.82
2024-05-18,657.43
2024-05-19,120.94
2024-05-20,222.85000000000002
2024-05-21,173.69
2024-05-22,190.61
2024-05-23,248.82999999999998
2024-05-24,344.7
2024-05-25,129.72
2024-05-26,121.77
2024-05-27,269.74
2024-05-28,260.57
2024-05-29,336.87
2024-05-30,135.66
2024-05-31,302.84
2024-06-01,536.41
2024-06-02,357.75
2024-06-03,81.94
2024-06-04,531.54
2024-06-05,45.25
2024-06-06,457.75
2024-06-07,42.37
2024-06-08,141.28
2024-06-09,288.46
2024-06-10,408.21000000000004
2024-06-11,229.92000000000002
2024-06-12,122.08000000000001
2024-06-13,295.48
2024-06-14,255.99
2024-06-15,268.36
2024-06-16,402.86
2024-06-17,228.45
2024-06-18,297.16
2024-06-19,397.75
2024-06-20,211.01
2024-06-21,366.75
2024-06-22,276.43
2024-06-23,276.2
2024-06-24,283.65
2024-06-25,255.75
2024-06-26,230.67999999999998
2024-06-27,272.37
2024-06-28,370.08
2024-06-29,211.51
2024-06-30,455.09999999999997
2024-07-01,203.82
2024-07-02,205.14000000000001
2024-07-03,188.51999999999998
2024-07-04,81.27
2024-07-05,71.25
2024-07-06,367.17
2024-07-07,247
2024-07-08,338.17
2024-07-09,86.85
2024-07-10,170.44
2024-07-11,51.4
2024-07-12,154.07999999999998
2024-07-13,194
2024-07-14,200.20000000000002
2024-07-15,354.63
2024-07-16,86.47999999999999
2024-07-17,863.94
2024-07-18,126.68
2024-07-19,424.26
2024-07-20,374.37
2024-07-21,418.28999999999996
2024-07-22,230.51
2024-07-23,161.37
2024-07-24,165.35
2024-07-25,536
2024-07-26,447.48
2024-07-27,433.16999999999996
2024-07-28,20.160000000000004
2024-07-29,36.26
2024-07-30,314.22
2024-07-31,694.37
2024-08-01,258.16
2024-08-02,320.99
2024-08-03,176.49
2024-08-04,39.24
2024-08-05,551.76
2024-08-06,299.78
2024-08-07,275.91
2024-08-08,119.42
2024-08-09,206.32999999999998
2024-08-10,131.35
2024-08-11,96.47
2024-08-12,182.6
2024-08-13,239.96
2024-08-14,360.36
2024-08-15,235.79000000000002
2024-08-16,37.92
2024-08-17,68.16
2024-08-18,563.55
2024-08-19,254.36
2024-08-20,353.14000000000004
2024-08-21,348.23
2024-08-22,312.57
2024-08-23,410.71000000000004
2024-08-24,371.29
2024-08-25,168.98
2024-08-26,145.29999999999998
2024-08-27,287.55
2024-08-28,209.79
2024-08-29,239.85
2024-08-30,228.01999999999998
2024-08-31,259.53000000000003
2024-09-01,149.98999999999998
2024-09-02,327.48
2024-09-03,416.75
2024-09-04,200.45000000000002
2024-09-05,369.96
2024-09-06,258.31999999999994
2024-09-07,89.32
2024-09-08,107.96000000000001
2024-09-09,316.25
2024-09-10,178.5
2024-09-11,145.82
2024-09-12,370.42999999999995
2024-09-13,131.32999999999998
2024-09-14,177.75
2024-09-15,176.05
2024-09-16,328.42
2024-09-17,210.72
2024-09-18,354.18
2024-09-19,320.69
2024-09-20,205.75
2024-09-21,464.67999999999995
2024-09-22,131.54999999999998
2024-09-23,139.68
2024-09-24,188.58999999999997
2024-09-25,92.44
2024-09-26,221.07
2024-09-27,205.69
2024-09-28,363.15999999999997
2024-09-29,162.47
2024-09-30,108.54
2024-10-01,361.5
2024-10-02,204.16000000000003
2024-10-03,218.48000000000002
2024-10-04,115.6
2024-10-05,282.06
2024-10-06,192.64000000000001
2024-10-07,99.87
2024-10-08,285.89
2024-10-09,118.85999999999999
2024-10-10,294.7
2024-10-11,223.53
2024-10-12,105.92
2024-10-13,124.12
2024-10-14,134.26
2024-10-15,164.66
2024-10-16,185.97
2024-10-17,77.03999999999999
2024-10-18,159.44
2024-10-19,158.56
2024-10-20,162.74
2024-10-21,156.46
2024-10-22,218.24
2024-10-23,149.92000000000002
2024-10-24,688.63
2024-10-25,96.52
2024-10-26,355.73999999999995
2024-10-27,262.13
2024-10-28,199.06
2024-10-29,194.3
2024-10-30,241.6
2024-10-31,151.34
2024-11-01,352.59
2024-11-02,116.13
2024-11-03,100.75
2024-11-04,141.69
2024-11-05,339.9
2024-11-06,97.68
